"Word"
"address"
"awake"
"blanket"
"call"
"downstairs"
"dry"
"elevator (UK lift)"
"first"
"floor"
"lift (US elevator)"
"map"
"pool"
"road"
"seat"
"shower"
"swimming pool"
"towel"
"upstairs"
"wash"
"world"
