"Word"
"back"
"better"
"cold"
"cough"
"cup"
"curly"
"doctor"
"earache"
"fat"
"headache"
"hurt"
"moustache"
"neck"
"nurse"
"plant"
"shoulder"
"stomach"
"tea"
"thin"
"tooth/teeth"
