"Word"
"bat"
"cage"
"clown"
"comic"
"comic book"
"dolphin"
"farm"
"farmer"
"kangaroo"
"kitten"
"lion"
"panda"
"parrot"
"pirate"
"puppy"
"rabbit"
"roller skates"
"roof"
"shark"
"tall"
"whale"
